,dataset,backbone,attack_name,defense_name,ratio,test_acc,test_asr,test_ra
0,gtsrb,preactresnet18,badnet,no defense,0.001,0.9859857482185274,0.1268894192521877,0.8454254865646362
1,gtsrb,preactresnet18,badnet,no defense,0.005,0.98701504354711,0.4463007159904534,0.3112967014312744
2,gtsrb,preactresnet18,badnet,no defense,0.01,0.9834520981789392,0.5026252983293557,0.2064439207315445
3,gtsrb,preactresnet18,badnet,no defense,0.05,0.9730007917656374,0.5794749403341288,0.0688941553235054
4,gtsrb,preactresnet18,badnet,no defense,0.1,0.9724465558194776,0.592521877486078,0.0441527180373668
5,gtsrb,preactresnet18,badnet,ft,0.001,0.985114812850952,0.0049323788844048,0.9816229343414308
6,gtsrb,preactresnet18,badnet,ft,0.005,0.9871733784675598,0.0630867183208465,0.9315035939216614
7,gtsrb,preactresnet18,badnet,ft,0.01,0.985193967819214,0.0038186158053576,0.98329359292984
8,gtsrb,preactresnet18,badnet,ft,0.05,0.9825811386108398,0.0354813076555728,0.953778862953186
9,gtsrb,preactresnet18,badnet,ft,0.1,0.987331748008728,0.0509148798882961,0.940015971660614
10,gtsrb,preactresnet18,badnet,fp,0.001,0.984481394290924,0.0221161507070064,0.96085923910141
11,gtsrb,preactresnet18,badnet,fp,0.005,0.9877276420593262,0.0505171082913875,0.9296738505363464
12,gtsrb,preactresnet18,badnet,fp,0.01,0.9847980737686156,7.955449837027118e-05,0.944471001625061
13,gtsrb,preactresnet18,badnet,fp,0.05,0.978622317314148,0.0210819412022829,0.9241846203804016
14,gtsrb,preactresnet18,badnet,fp,0.1,0.98210608959198,0.0008750995039008,0.7093079090118408
15,gtsrb,preactresnet18,badnet,nad,0.001,0.9850355982780457,0.005330151412636,0.9808273911476136
16,gtsrb,preactresnet18,badnet,nad,0.005,0.9880443215370178,0.0166268907487392,0.9740653038024902
17,gtsrb,preactresnet18,badnet,nad,0.01,0.982739508152008,0.0147971371188759,0.973587930202484
18,gtsrb,preactresnet18,badnet,nad,0.05,0.979889154434204,0.0777247473597526,0.9128082990646362
19,gtsrb,preactresnet18,badnet,nad,0.1,0.98693585395813,0.0062848054803907,0.9800318479537964
20,gtsrb,preactresnet18,badnet,nc,0.001,0.9748218655586244,0.0,0.9749403595924376
21,gtsrb,preactresnet18,badnet,nc,0.005,0.9854314923286438,7.955449837027118e-05,0.9853619933128356
22,gtsrb,preactresnet18,badnet,nc,0.01,0.9719715118408204,0.0,0.971360445022583
23,gtsrb,preactresnet18,badnet,nc,0.05,0.9708630442619324,0.0,0.9711217880249025
24,gtsrb,preactresnet18,badnet,nc,0.1,0.9748218655586244,7.955449837027118e-05,0.9744630455970764
25,gtsrb,preactresnet18,badnet,anp,0.001,0.9678543210029602,0.0,0.967223584651947
26,gtsrb,preactresnet18,badnet,anp,0.005,0.9532066583633424,0.0,0.9577565789222716
27,gtsrb,preactresnet18,badnet,anp,0.01,0.9399049878120422,0.0,0.9450278878211976
28,gtsrb,preactresnet18,badnet,anp,0.05,0.9272367358207704,0.0,0.9252188205718994
29,gtsrb,preactresnet18,badnet,anp,0.1,0.9585906267166138,0.0,0.9551312923431396
30,gtsrb,preactresnet18,badnet,ac,0.001,0.970546305179596,0.0008750995039008,0.9697693586349488
31,gtsrb,preactresnet18,badnet,ac,0.005,0.968171000480652,0.4302307367324829,0.557120144367218
32,gtsrb,preactresnet18,badnet,ac,0.01,0.9841646552085876,0.8172633647918701,0.1810660362243652
33,gtsrb,preactresnet18,badnet,ac,0.05,0.9754552841186525,0.846698522567749,0.1509148776531219
34,gtsrb,preactresnet18,badnet,ac,0.1,0.95526522397995,0.9594272375106812,0.0394590310752391
35,gtsrb,preactresnet18,badnet,spectral,0.001,0.976247012615204,0.0006364359869621,0.9754177927970886
36,gtsrb,preactresnet18,badnet,spectral,0.005,0.9774346947669984,0.8234686255455017,0.1742243319749832
37,gtsrb,preactresnet18,badnet,spectral,0.01,0.9732382893562316,0.8626094460487366,0.1347653269767761
38,gtsrb,preactresnet18,badnet,spectral,0.05,0.963578760623932,0.9251392483711244,0.0729514732956886
39,gtsrb,preactresnet18,badnet,spectral,0.1,0.9682502150535583,0.9422434568405152,0.0574383288621902
40,gtsrb,preactresnet18,badnet,abl,0.001,0.2091844826936721,0.0769291967153549,0.1905330270528793
41,gtsrb,preactresnet18,badnet,abl,0.005,0.0047505935654044,0.983611822128296,0.0
42,gtsrb,preactresnet18,badnet,abl,0.01,0.0047505935654044,1.0,0.0
43,gtsrb,preactresnet18,badnet,abl,0.05,0.9579572677612304,0.0,0.9628480672836304
44,gtsrb,preactresnet18,badnet,abl,0.1,0.938242256641388,0.0,0.9420843720436096
45,gtsrb,preactresnet18,badnet,clp,0.001,0.985193982581156,0.0077167859984089,0.9770883054892602
46,gtsrb,preactresnet18,badnet,clp,0.005,0.9874901029295328,0.524502784407319,0.4738265712012728
47,gtsrb,preactresnet18,badnet,clp,0.01,0.973396674584323,0.3097056483691328,0.6787589498806682
48,gtsrb,preactresnet18,badnet,clp,0.05,0.9711005542359462,0.5190930787589498,0.4738265712012728
49,gtsrb,preactresnet18,badnet,clp,0.1,0.9767220902612826,0.6684964200477327,0.3303898170246619
50,gtsrb,preactresnet18,badnet,i-bau,0.001,0.9599366587490102,0.0008750994431185,0.960222752585521
51,gtsrb,preactresnet18,badnet,i-bau,0.005,0.9329374505146476,0.0,0.9352426412092284
52,gtsrb,preactresnet18,badnet,i-bau,0.01,0.9380047505938244,0.0002386634844868,0.9385839299920444
53,gtsrb,preactresnet18,badnet,i-bau,0.05,0.1442596991290578,0.0,0.1472553699284009
54,gtsrb,preactresnet18,badnet,i-bau,0.1,0.9646872525732384,0.0002386634844868,0.9645982498011136
55,gtsrb,preactresnet18,badnet,d-br,0.001,0.4031670625494853,0.0,0.4050914876690533
56,gtsrb,preactresnet18,badnet,d-br,0.005,0.3707838479809976,0.0,0.3692124105011933
57,gtsrb,preactresnet18,badnet,d-br,0.01,0.5446555819477434,0.0,0.537708830548926
58,gtsrb,preactresnet18,badnet,d-br,0.05,0.404750593824228,0.0140811455847255,0.4062052505966587
59,gtsrb,preactresnet18,badnet,d-br,0.1,0.3611243072050673,0.2006364359586316,0.3355608591885441
60,gtsrb,preactresnet18,badnet,d-st,0.001,0.8906571654790182,0.0,0.8915672235481304
61,gtsrb,preactresnet18,badnet,d-st,0.005,0.8903404592240697,0.0,0.8953062848050914
62,gtsrb,preactresnet18,badnet,d-st,0.01,0.8673792557403008,0.0002386634844868,0.869769291964996
63,gtsrb,preactresnet18,badnet,d-st,0.05,0.8768012668250198,0.3042959427207637,0.6475735879077168
64,gtsrb,preactresnet18,badnet,d-st,0.1,0.8406175771971497,0.8575974542561655,0.1299920445505171
65,gtsrb,preactresnet18,badnet,dde,0.001,0.9812351543942992,0.1494828957836117,0.8284009546539379
66,gtsrb,preactresnet18,badnet,dde,0.005,0.978622327790974,0.0673826571201272,0.915433571996818
67,gtsrb,preactresnet18,badnet,dde,0.01,0.968012668250198,0.0002386634844868,0.968098647573588
68,gtsrb,preactresnet18,badnet,dde,0.05,0.9605700712589074,0.0213206046141607,0.9400954653937948
69,gtsrb,preactresnet18,badnet,dde,0.1,0.9768804433887568,0.1094669848846459,0.8821002386634845
70,gtsrb,preactresnet18,badnet,mbns,0.001,0.9852731591448932,0.1658711217183771,0.8159904534606205
71,gtsrb,preactresnet18,badnet,mbns,0.005,0.9874901029295328,0.6442322991249005,0.354733492442323
72,gtsrb,preactresnet18,badnet,mbns,0.01,0.9838479809976248,0.7607000795544948,0.237708830548926
73,gtsrb,preactresnet18,badnet,mbns,0.05,0.9792557403008708,0.9306284805091488,0.0683373110580747
74,gtsrb,preactresnet18,badnet,mbns,0.1,0.972763262074426,0.9523468575974544,0.0466984884645982
75,gtsrb,preactresnet18,badnet,dbd,0.001,0.8574029803276062,0.0,0.8616547584533691
76,gtsrb,preactresnet18,badnet,dbd,0.005,0.8117973208427429,0.0,0.8155927062034607
77,gtsrb,preactresnet18,badnet,dbd,0.01,0.8399049639701843,0.0,0.8392999768257141
78,gtsrb,preactresnet18,badnet,dbd,0.05,0.8342042565345764,0.0,0.8383452892303467
79,gtsrb,preactresnet18,badnet,dbd,0.1,0.8274742364883423,0.0,0.831344485282898
80,gtsrb,preactresnet18,blended,no defense,0.001,0.9872525732383216,0.6104216388225935,0.3031821548938751
81,gtsrb,preactresnet18,blended,no defense,0.005,0.9894695170229612,0.9031821797931584,0.0723150223493576
82,gtsrb,preactresnet18,blended,no defense,0.01,0.9879651623119556,0.9567223548130468,0.0288782622665166
83,gtsrb,preactresnet18,blended,no defense,0.05,0.9884402216943784,0.9992840095465394,0.0003977724991273
84,gtsrb,preactresnet18,blended,no defense,0.1,0.985827395091053,0.999920445505171,0.0
85,gtsrb,preactresnet18,blended,ft,0.001,0.984956443309784,0.5972155928611755,0.3306284844875335
86,gtsrb,preactresnet18,blended,ft,0.005,0.9876484274864196,0.8855211138725281,0.0976133719086647
87,gtsrb,preactresnet18,blended,ft,0.01,0.987569272518158,0.9478918313980104,0.048846460878849
88,gtsrb,preactresnet18,blended,ft,0.05,0.9881235361099244,0.9975338578224182,0.0020684169139713
89,gtsrb,preactresnet18,blended,ft,0.1,0.9857482314109802,1.0,0.0
90,gtsrb,preactresnet18,blended,fp,0.001,0.9863024353981018,0.6073190569877625,0.3203659653663635
91,gtsrb,preactresnet18,blended,fp,0.005,0.9874109029769896,0.8766905665397644,0.0974542573094368
