dataset,backbone,attack,defense,pratio,test_acc,test_asr,test_ra
cifar10,preactresnet18,badnet,nodefense,0.1,0.9132,0.9503333333333334,0.0466666594147682
cifar10,preactresnet18,badnet,ft,0.1,0.8995999693870544,0.0147777777165174,0.8938888907432556
cifar10,preactresnet18,badnet,fp,0.1,0.913100004196167,0.5713333487510681,0.4162222146987915
cifar10,preactresnet18,badnet,nad,0.1,0.8986999988555908,0.0214444454759359,0.8871111273765564
cifar10,preactresnet18,badnet,nc,0.1,0.8904999494552612,0.0126666668802499,0.8915555477142334
cifar10,preactresnet18,badnet,anp,0.1,0.8416999578475952,0.0073333336040377,0.8404444456100464
cifar10,preactresnet18,badnet,ac,0.1,0.887999951839447,0.862333357334137,0.1327777802944183
cifar10,preactresnet18,badnet,spectral,0.1,0.8998000025749207,0.9241111278533936,0.0719999894499778
cifar10,preactresnet18,badnet,abl,0.1,0.8331999778747559,0.0,0.8902222514152527
cifar10,vgg19_bn,badnet,nodefense,0.1,,,
cifar10,vgg19_bn,badnet,ft,0.1,,,
cifar10,vgg19_bn,badnet,fp,0.1,,,
cifar10,vgg19_bn,badnet,nad,0.1,,,
cifar10,vgg19_bn,badnet,nc,0.1,,,
cifar10,vgg19_bn,badnet,anp,0.1,,,
cifar10,vgg19_bn,badnet,ac,0.1,,,
cifar10,vgg19_bn,badnet,spectral,0.1,,,
cifar10,vgg19_bn,badnet,abl,0.1,,,
cifar10,vgg19_bn,badnet,dbd,0.1,,,
cifar10,vgg19_bn,badnet,clp,0.1,,,
cifar10,vgg19_bn,badnet,d-br,0.1,,,
cifar10,vgg19_bn,badnet,d-st,0.1,,,
cifar10,vgg19_bn,badnet,dde,0.1,,,
cifar10,vgg19_bn,badnet,i-bau,0.1,,,
cifar10,vgg19_bn,badnet,mbns,0.1,,,
cifar10,convnext_tiny,badnet,nodefense,0.1,,,
cifar10,convnext_tiny,badnet,ft,0.1,,,
cifar10,convnext_tiny,badnet,fp,0.1,,,
cifar10,convnext_tiny,badnet,nad,0.1,,,
cifar10,convnext_tiny,badnet,nc,0.1,,,
cifar10,convnext_tiny,badnet,anp,0.1,,,
cifar10,convnext_tiny,badnet,ac,0.1,,,
cifar10,convnext_tiny,badnet,spectral,0.1,,,
cifar10,convnext_tiny,badnet,abl,0.1,,,
cifar10,convnext_tiny,badnet,dbd,0.1,,,
cifar10,convnext_tiny,badnet,clp,0.1,,,
cifar10,convnext_tiny,badnet,d-br,0.1,,,
cifar10,convnext_tiny,badnet,d-st,0.1,,,
cifar10,convnext_tiny,badnet,dde,0.1,,,
cifar10,convnext_tiny,badnet,i-bau,0.1,,,
cifar10,convnext_tiny,badnet,mbns,0.1,,,
cifar10,vit_b_16,badnet,nodefense,0.1,,,
cifar10,vit_b_16,badnet,ft,0.1,,,
cifar10,vit_b_16,badnet,fp,0.1,,,
cifar10,vit_b_16,badnet,nad,0.1,,,
cifar10,vit_b_16,badnet,nc,0.1,,,
cifar10,vit_b_16,badnet,anp,0.1,,,
cifar10,vit_b_16,badnet,ac,0.1,,,
cifar10,vit_b_16,badnet,spectral,0.1,,,
cifar10,vit_b_16,badnet,abl,0.1,,,
cifar10,vit_b_16,badnet,dbd,0.1,,,
cifar10,vit_b_16,badnet,clp,0.1,,,
cifar10,vit_b_16,badnet,d-br,0.1,,,
cifar10,vit_b_16,badnet,d-st,0.1,,,
cifar10,vit_b_16,badnet,dde,0.1,,,
cifar10,vit_b_16,badnet,i-bau,0.1,,,
cifar10,vit_b_16,badnet,mbns,0.1,,,
cifar10,efficientnet_b3,badnet,nodefense,0.1,0.5748,0.0951111111111111,0.5558889508247375
cifar10,efficientnet_b3,badnet,ft,0.1,0.536899983882904,0.0508888885378837,0.5295555591583252
